,open_covid_region_code,date,hospitalized_new
0,CHE,2019-12-31,0.0
1,CHE,2020-01-07,0.0
2,CHE,2020-01-14,0.0
3,CHE,2020-01-21,0.0
4,CHE,2020-01-28,0.0
5,CHE,2020-02-04,0.0
6,CHE,2020-02-11,0.0
7,CHE,2020-02-18,5.0
8,CHE,2020-02-25,58.0
9,CHE,2020-03-03,121.0
10,CHE,2020-03-10,427.0
11,CHE,2020-03-17,859.0
12,CHE,2020-03-24,1152.0
13,CHE,2020-03-31,535.0
14,CHE,2020-04-07,299.0
15,CHE,2020-04-14,209.0
16,CHE,2020-04-21,87.0
17,CHE,2020-04-28,48.0
18,CHE,2020-05-05,27.0
19,CHE,2020-05-12,21.0
20,CHE,2020-05-19,10.0
21,CHE,2020-05-26,10.0
22,CHE,2020-06-02,4.0
23,CHE,2020-06-09,4.0
24,CHE,2020-06-16,12.0
25,CHE,2020-06-23,5.0
26,CHE,2020-06-30,0.0
27,CHE,2020-07-07,0.0
28,CHE,2020-07-14,0.0
29,CHE,2020-07-21,0.0
30,CHE,2020-07-28,0.0
31,CHE,2020-08-04,0.0
32,CHE,2020-08-11,0.0
33,CHE,2020-08-18,0.0
34,CHE,2020-08-25,0.0
35,CHE,2020-09-01,0.0
36,CHE,2020-09-08,0.0
37,CHE,2020-09-15,0.0
38,CHE,2020-09-22,0.0
39,CHE,2020-09-29,0.0
40,MDA,2020-03-08,0.0
41,MDA,2020-03-17,0.0
42,MDA,2020-03-24,0.0
43,MDA,2020-03-31,0.0
44,MDA,2020-04-07,64.0
45,MDA,2020-04-14,88.0
46,MDA,2020-04-21,213.0
47,MDA,2020-04-28,195.0
48,MDA,2020-05-05,194.0
49,MDA,2020-05-12,456.0
50,MDA,2020-05-19,375.0
51,MDA,2020-05-26,496.0
52,MDA,2020-06-02,542.0
53,MDA,2020-06-09,517.0
54,MDA,2020-06-16,582.0
55,MDA,2020-06-23,343.0
56,MDA,2020-06-30,284.0
57,MDA,2020-07-07,442.0
58,MDA,2020-07-14,294.0
59,MDA,2020-07-21,400.0
60,MDA,2020-07-28,328.0
61,MDA,2020-08-04,0.0
62,MDA,2020-08-11,0.0
63,MDA,2020-08-18,0.0
64,MDA,2020-08-25,0.0
65,MDA,2020-09-01,0.0
66,MDA,2020-09-08,0.0
67,MDA,2020-09-15,0.0
68,MDA,2020-09-22,0.0
69,MDA,2020-09-29,0.0
70,NOR,2019-12-31,0.0
71,NOR,2020-01-07,0.0
72,NOR,2020-01-14,0.0
73,NOR,2020-01-21,0.0
74,NOR,2020-01-28,0.0
75,NOR,2020-02-04,0.0
76,NOR,2020-02-11,0.0
77,NOR,2020-02-18,0.0
78,NOR,2020-02-25,0.0
79,NOR,2020-03-03,5.0
80,NOR,2020-03-10,56.0
81,NOR,2020-03-17,179.0
82,NOR,2020-03-24,261.0
83,NOR,2020-03-31,182.0
84,NOR,2020-04-07,83.0
85,NOR,2020-04-14,60.0
86,NOR,2020-04-21,36.0
87,NOR,2020-04-28,15.0
88,NOR,2020-05-05,15.0
89,NOR,2020-05-12,12.0
90,NOR,2020-05-19,5.0
91,NOR,2020-05-26,10.0
92,NOR,2020-06-02,2.0
93,NOR,2020-06-09,5.0
94,NOR,2020-06-16,3.0
95,NOR,2020-06-23,0.0
96,NOR,2020-06-30,0.0
97,NOR,2020-07-07,0.0
98,NOR,2020-07-14,0.0
99,NOR,2020-07-21,0.0
100,NOR,2020-07-28,0.0
101,NOR,2020-08-04,0.0
102,NOR,2020-08-11,0.0
103,NOR,2020-08-18,0.0
104,NOR,2020-08-25,0.0
105,NOR,2020-09-01,0.0
106,NOR,2020-09-08,0.0
107,NOR,2020-09-15,0.0
108,NOR,2020-09-22,0.0
109,NOR,2020-09-29,0.0
110,FR-01,2020-03-19,45.0
111,FR-01,2020-03-26,124.0
112,FR-01,2020-04-02,130.0
113,FR-01,2020-04-09,103.0
114,FR-01,2020-04-16,88.0
115,FR-01,2020-04-23,47.0
